"""0"",""1"",""00"",""01"",""10"",""11"",""000"",""001"",""010"",""011"",""100"",""101"",""110"",""111"""
8,8,20,15,15,15,13,14,17,14,14,17,14,13
10,10,15,14,14,17,19,12,18,14,14,18,12,22
8,8,12,14,14,12,17,14,15,14,14,15,14,17
11,11,14,15,15,15,20,17,13,14,14,13,17,20
9,9,13,10,10,13,14,14,17,14,14,17,14,14
9,9,16,16,16,16,16,15,15,16,16,15,15,16
12,12,17,14,14,16,15,16,12,13,13,12,16,15
15,15,14,15,15,14,20,14,15,11,11,15,14,24
4,4,18,9,9,15,13,9,11,9,9,11,9,13
16,16,14,16,16,14,15,15,14,14,14,14,15,15
14,14,15,19,19,15,30,18,15,18,18,15,18,30
8,8,14,11,11,14,15,20,16,13,13,16,20,14
16,16,13,12,12,13,18,13,13,13,13,13,13,16
13,13,16,18,18,20,16,21,19,17,17,19,21,17
12,12,17,17,17,18,16,14,14,14,14,14,14,19
12,12,14,11,11,14,16,12,15,17,17,15,12,17
10,10,12,8,8,12,18,14,14,14,14,14,14,19
9,9,17,15,15,18,16,14,17,15,15,17,14,17
8,8,16,11,11,15,15,16,14,16,16,14,16,16
11,11,14,12,12,16,17,16,15,20,20,15,16,16
7,7,13,12,12,12,16,15,17,15,15,17,15,16
13,13,12,15,15,12,16,15,15,14,14,15,15,17
11,11,15,15,15,17,19,15,16,15,15,16,15,19
10,10,15,14,14,17,19,17,18,12,12,18,17,16
6,6,13,13,13,13,12,13,11,13,13,11,13,12
11,11,14,13,13,16,16,15,16,15,15,16,15,16
10,10,12,12,12,12,16,17,16,17,17,16,17,16
8,8,14,14,14,13,17,13,14,16,16,14,13,17
15,15,11,11,11,11,14,14,16,14,14,16,14,14
8,8,13,20,20,15,17,15,15,17,17,15,15,17
10,10,13,14,14,13,15,18,12,13,13,12,18,15
13,13,16,14,14,17,20,16,18,13,13,18,16,20
6,6,9,9,9,9,15,16,11,16,16,11,16,14
16,16,16,14,14,14,18,15,20,16,16,20,15,20
26,26,13,15,15,14,15,17,18,20,20,18,17,17
11,11,14,17,17,15,17,15,12,17,17,12,15,17
